time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.269361459024993e-05,3.144353651532744e-05,0.0003323933770114815,0.002577404812731792,0.006327381375341296,0.06647848146449549,-0.0014336210564269661,0.001433619216194804,-1.0272268364987453e-06,-0.28661055554976117,0.28661055554976117,0.0
0.02,5.343147725983329e-05,0.0001281937603570803,0.0013275793261929665,0.005675909929651604,0.013128398912859295,0.13255785203401937,-0.005362789108009584,0.005362748441011763,-7.962685079259429e-06,-0.49913479924547777,0.49913027771033813,0.0012830103835787296
0.03,0.000129136486184094,0.00029679278681644765,0.002981345481082311,0.009600804258677587,0.020746439333763765,0.19819289149622565,-0.011141991158103635,0.010421512762722298,-2.0802162285996553e-05,-0.6566256689398011,0.5125996177261515,0.004378114284752393
0.04,0.0002482622933694652,0.0005467262549988427,0.005289014404642498,0.014305312422353021,0.029431387782791016,0.2633369775509631,-0.018291515579421824,0.013450093983692143,-2.2821459176947605e-05,-0.7732265430141224,0.0932261291985777,0.003573613848426346
0.05,0.00041615760838457146,0.0008896125566009497,0.008245438066634785,0.01925708906025557,0.039363293345831295,0.32794297299278313,-0.026454977418776685,0.012827013283417437,4.238525969671302e-07,-0.859493886466925,-0.21777715752355792,-0.002126965022556914
0.060000000000000005,0.0006326404463629854,0.001338596095341591,0.011844966343665905,0.02395101555665995,0.05066980979769237,0.39195622540985164,-0.03536832809503007,0.00949564450818666,3.676594179978289e-05,-0.9232405787631168,-0.44828664679962893,-0.011506081679033052
0.07,0.0008931902956219881,0.0019078920754377476,0.016081377052096647,0.02801787505454514,0.0634393047015201,0.4553167179858835,-0.044835638396239816,0.0041563494819599174,7.762755091665577e-05,-0.9702746117377832,-0.6189412966397251,-0.023365311664100264
0.08,0.00119012616076963,0.002612444500063805,0.020947816125923693,0.031189884780561034,0.07773055379811866,0.5179581766579459,-0.054711482145698855,-0.0026706801076063205,0.00011767266063710932,-1.0049082303286108,-0.7450846832071633,-0.03673442982166451
0.09,0.001513486882932584,0.0034676673993199276,0.026436727200339544,0.033275161838972014,0.09357980955047852,0.5798066189470785,-0.0648878925389413,-0.010599132919215895,0.00015398635753079314,-1.0303412979458297,-0.838128535908997,-0.050905013264138745
0.09999999999999999,0.0018516911567080544,0.00448924623715869,0.03253976699865982,0.034138869357801305,0.11100585837214436,0.6407788639318929,-0.07528470530711928,-0.01934218721343746,0.00018527202493684843,-1.0489480001625777,-0.9065591876556474,-0.06539636607304097
0.10999999999999999,0.0021920352795025146,0.005692981959033478,0.039247706918710934,0.03368937459922064,0.13001356017315968,0.700781221712409,-0.08584240351931219,-0.028686938400405544,0.0002112216393967379,-1.0624901967950877,-0.9566855364590202,-0.07990338275812119
0.11999999999999998,0.002521072090524806,0.0070946646312355565,0.0465503240863735,0.03186814827250946,0.1505962794455664,0.7597086859940374,-0.09651681050481235,-0.03847538543996353,0.00023207435438277115,-1.0722757212173262,-0.9931960527638518,-0.09424682288556187
0.12999999999999998,0.002824903423754587,0.008709967226220182,0.054436287019697244,0.028642433421229976,0.17273752275934995,0.8174446648543339,-0.10727514986356276,-0.04859029853441071,0.0002483303656676173,-1.0792756720388907,-1.0195737644286407,-0.10833284916594366
0.13999999999999999,0.0030894098360037332,0.010554353027388802,0.06289304253244386,0.02399993076814273,0.1964120551494574,0.8738615035642207,-0.11809311829304474,-0.05894471870227462,0.00026057794976614817,-1.0842112936060555,-1.0384053643861537,-0.12212274211497036
0.15,0.0033004346913498486,0.012642992640850954,0.07190671283234129,0.017944908986987126,0.22158672810832963,0.9288220070798007,-0.12895270980946175,-0.06947415831498809,0.0002693968694267285,-1.0876183504968482,-1.051611345254128,-0.13561144368060282
0.16,0.00344393441452439,0.014990688755778914,0.08146201351296711,0.010495271322484834,0.2482212190478346,0.982182101722777,-0.13984059802780774,-0.08013080930300583,0.00027531030622615963,-1.0898948553343333,-1.0606172438167139,-0.14881299283582286
0.17,0.003506102451182966,0.01761180880113949,0.09154220525575132,0.0016801871222955744,0.27626888528556715,1.0337949194398814,-0.15074693323369043,-0.09087924306070344,0.00027876591746957817,-1.09133647937977,-1.0664809966335382,-0.16175101756161234
0.18000000000000002,0.0034734709670934424,0.020520227476371784,0.10212909357752581,-0.008462024605555889,0.30567789604811424,1.0835163250470314,-0.16166444791293583,-0.10169321830559358,0.00028013325341544077,-1.0921628419980471,-1.0699876088376554,-0.17445278018718616
0.19000000000000003,0.0033329915543955525,0.023729282572091517,0.11320309037236853,-0.019886001890693422,0.3363927672041807,1.1312117489436944,-0.17258779172532168,-0.1125533116517356,0.00027970953617242113,-1.092537039275134,-1.0717194952170859,-0.18694563560250865
0.20000000000000004,0.0030720941761835175,0.02725174845978208,0.1247433486026069,-0.032541603489391606,0.3683563668067009,1.1767639843874516,-0.1835130371637995,-0.12344515897345393,0.00027772902406064236,-1.0925801566177704,-1.0721087259833677,-0.1992550775464601
0.21000000000000005,0.002678722562128602,0.031099831607512306,0.136727975274628,-0.046376367039248315,0.401512318386008,1.2200810470131327,-0.19443731218260724,-0.1343581501625738,0.0002743732668720539,-1.0923820568416551,-1.071475820142851,-0.2114037967733727
0.22000000000000006,0.0021413443391667185,0.03528519139236328,0.14913431896215265,-0.06133811114235266,0.4358076581502574,1.261103224712617,-0.2053585272614047,-0.14528446041071053,0.0002697808485769003,-1.0920094009271752,-1.070058542649651,-0.22341135969311077
