time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5.019345834073822e-05,3.7693510473742154e-05,0.0003698932207619699,0.010077357937927104,0.00757737356287385,0.07397843458969082,-0.0014336210564269661,0.001433619216194804,-1.0272268364987453e-06,-0.28661055554976117,0.28661055554976117,0.0
0.02,0.0002049946776839283,0.00015381859331974415,0.001478719835080559,0.020988556366227564,0.01575332016469745,0.1477860162129618,-0.005362789108009584,0.005362748441011763,-7.962685079259429e-06,-0.49913479924547777,0.49913027771033813,0.0012830103835787296
0.03,0.0004742327160144793,0.0003561578833604892,0.00332447571347566,0.032953406096830534,0.02486939175508645,0.22136305573986823,-0.01114191420432532,0.00888403926368412,-1.5084156553048814e-05,-0.6566183355547038,0.2052302451047192,0.0027287573693726224
0.04,0.0008670310978962501,0.0006554154616834882,0.005904547833065411,0.045615640949547676,0.035172902357713885,0.2946483221466012,-0.01829130081501352,0.009236494105473753,-4.015255927000641e-06,-0.7732326231037063,-0.13463872632109913,0.00011078936408545625
0.05,0.0013877701930180484,0.001064398714419823,0.009215683017287086,0.05846285900628876,0.046840584826608155,0.36757425966658774,-0.026454917850108065,0.0066294732097247795,2.370922517811834e-05,-0.8595052913382563,-0.38664303348778023,-0.006535969670653243
0.060000000000000005,0.002036158017438317,0.0015974045306867669,0.013253912328153225,0.0710877321763491,0.05999611704594657,0.4400647040177972,-0.035368639330116886,0.0018279638985722471,5.946076132034535e-05,-0.923255611607418,-0.573322216157794,-0.016221552201913486
0.07,0.0028084129956566137,0.0022697568051787704,0.01801445405476986,0.08319429790025867,0.07472308445099131,0.5120332748522903,-0.044836433005865775,-0.004599844636497319,9.708481048727713e-05,-0.9702919848258161,-0.7114214903163064,-0.02796549230865289
0.08,0.0036982314180071816,0.003097454905341103,0.023491594441842976,0.09457011846413972,0.09107437013435031,0.5833801299194061,-0.05471277956765717,-0.012231972763822277,0.0001327828679508039,-1.0049260932334045,-0.8133928424314716,-0.04097132696115986
0.09,0.004697515361282678,0.004096901592824171,0.02967853507020728,0.10506585330409651,0.10907877627844022,0.653988406162189,-0.06488964519424914,-0.020755095987126628,0.00016454393680713248,-1.0303576716922944,-0.8884964977806702,-0.05465549008014878
0.09999999999999999,0.005796925650423349,0.00528468604371041,0.03656720531084046,0.11458042871816267,0.12874551441999424,0.72372073716078,-0.07528682654956434,-0.029936622563052247,0.00019155430470717963,-1.0489612799617576,-0.9436176509791483,-0.0686203070344838
0.10999999999999999,0.006986308578569319,0.006677403390824267,0.04414804258942512,0.1230504216096498,0.15006708965873555,0.7924162796531219,-0.08584479047716839,-0.03960393111926122,0.00021372577920589225,-1.0624993929668969,-0.9838740421752821,-0.08261184620599148
0.11999999999999998,0.008255032889160121,0.008291497026677464,0.052409747738852056,0.13044257972630047,0.17302102207240994,0.8598887033743795,-0.09651935990074359,-0.04962893681091342,0.00023136292870548595,-1.0722804650659359,-1.0130684188170125,-0.09647950451533288
0.12999999999999998,0.009592263898188156,0.010143114066883183,0.061339027656969865,0.13674861765333224,0.19757079863359742,0.9259256673866785,-0.10727776742698786,-0.059916622646727966,0.00024494757212278304,-1.0792760922095754,-1.034025530202679,-0.11014302258504709
0.13999999999999999,0.010987193729832697,0.012247968335185499,0.07092034449317457,0.14198155813253488,0.22366645849638006,0.9902906558021238,-0.11809572328780593,-0.07039652011541712,0.0002550094698291503,-1.084207851502998,-1.048843053601722,-0.12356773639334172
0.15,0.012429239730505574,0.014621209385431148,0.08113569982998468,0.14617296017708042,0.25124524233761847,1.052728146092686,-0.1289552362689202,-0.08101638239802794,0.00026205531812352733,-1.0876116871289305,-1.0590783514666662,-0.13674700179806276
0.16,0.01390821680192812,0.017277300468130953,0.09196449131540159,0.14937042262764,0.2802327551783486,1.1129729337434058,-0.13984299401406194,-0.09173748686658874,0.0002665347142239979,-1.0898856722209813,-1.0658874015354993,-0.1496902319584229
0.17,0.015414483548453569,0.02022991278918942,0.10338348572552862,0.15163480215537878,0.3105450820579607,1.1707640940107489,-0.15074915907957054,-0.10253114783871911,0.00026882815979461486,-1.0913254577586478,-1.0701280986677253,-0.16241506120884447
0.18000000000000002,0.01693905733819169,0.02349184690081256,0.11536695076221132,0.15303674700868744,0.3420921143814374,1.2258627656981784,-0.1616664740814847,-0.11337612806819466,0.00026924727532367994,-1.0921505954560184,-1.0724370316389529,-0.17494241475195593
0.19000000000000003,0.018473690700925513,0.027074993176856372,0.12788697317930095,0.15365241008084624,0.3747820499565934,1.2780716309332394,-0.17258959666998072,-0.12425671749325698,0.0002680410829445776,-1.0925240917265926,-1.0732865237749032,-0.18729355608232628
0.20000000000000004,0.020010902113441798,0.030990340684604517,0.14091396179613017,0.1535586043165859,0.4085265733787177,1.3272524116516502,-0.18351460539498918,-0.13516130730701978,0.0002654047125385925,-1.09256693753645,-1.0730269966477135,-0.1994884397474339
