time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5.018069303065048e-05,3.768074516036971e-05,0.0003165101863173531,0.010072254861200025,0.007572270486145988,0.06330185359797026,-0.0014336210564269661,0.001433619216194804,-1.0272268364987453e-06,-0.28661055554976117,0.28661055554976117,0.0
0.02,0.00020338461200918056,0.00015363596139794503,0.0012708912009085894,0.020657538917220157,0.015718385857985497,0.12757359294884446,-0.005362781971701543,0.004944705239422026,-6.942089901504627e-06,-0.49913424194139455,0.4155545923129521,0.0011631244264244482
0.03,0.0004657082108571892,0.0003553533405947037,0.002873700863560823,0.03186293632723114,0.024772609459358635,0.19298664899493534,-0.011141869670518164,0.0071289095004158694,-9.324924904297492e-06,-0.6566179995375984,0.021431214928595288,0.0015282977559511537
0.04,0.0008413792837183506,0.0006531859658213715,0.0051318613585486245,0.04323936282567408,0.03497658206308738,0.25864283192369153,-0.01829125382455484,0.005881138559309839,7.84801288579615e-06,-0.7732362946119257,-0.2708853414983272,-0.002089903255748831
0.05,0.001329685830291004,0.001059494030779561,0.008043473347283706,0.054325436883207824,0.04649261661300401,0.32367516909110483,-0.026455012216674505,0.0020880821597256526,3.7198201781085186e-05,-0.8595114382397151,-0.4875647097778275,-0.009251521100977055
0.060000000000000005,0.001925972397720277,0.0015879706490146829,0.011600138989319374,0.06478848868900523,0.05942763226346088,0.3876507621350765,-0.03536897474580316,-0.00359183231882696,7.194351331005655e-05,-0.9232638927927954,-0.6480019572432207,-0.019088752296732472
0.07,0.00262276357482136,0.002253194996758569,0.01579081881623749,0.07439260854215578,0.07385415701062908,0.4504743012358565,-0.04483705270898645,-0.010669570017624228,0.00010722021185285441,-0.9703015878007715,-0.7666127014835408,-0.03074379278722475
0.08,0.0034105853535434066,0.0030703528908070433,0.02060427323007351,0.0829704310782526,0.08982260009777238,0.5122012708716843,-0.054713677870442484,-0.018781976024138558,0.00014005392534267687,-1.0049358006242477,-0.8541165235128814,-0.043519516216527374
0.09,0.00427854690658384,0.004055045286779714,0.026029912458791278,0.09040338510137033,0.10736664396118066,0.5729063528661944,-0.06489078290425354,-0.027659436922886117,0.00016891647906473305,-1.0303662741176354,-0.918484434309072,-0.056904279320565763
0.09999999999999999,0.005214763086255808,0.005223131839866012,0.03205766264324983,0.09660937315252237,0.12650502548674186,0.6326182239087611,-0.07528814649559774,-0.037101833479743385,0.0001932478802382752,-1.048967869142022,-0.9656423552713499,-0.07054839864743186
