time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5.017953254791524e-05,3.767958467733585e-05,0.0003116571831860242,0.010071790945133928,0.00757180657007982,0.06233125532599563,-0.0014336210564269661,0.001433619216194804,-1.0272268364987453e-06,-0.28661055554976117,0.28661055554976117,0.0
0.02,0.00020332828675036785,0.00015361898395750063,0.001251976750555887,0.020638539441368616,0.01571511600122341,0.12573194507514787,-0.005362777089017683,0.0046304406358781205,-6.174859508137679e-06,-0.4991338651983002,0.3527264455160251,0.0010729999783970767
0.03,0.0004650510300698268,0.0003552774191841208,0.0028327054269644174,0.031747600145978126,0.024763384466414032,0.1904122169540417,-0.011141857262154792,0.006267695565789229,-6.699395884047346e-06,-0.6566191165612522,-0.025135833365454996,0.0011174279900386442
0.04,0.0008387782874925379,0.0006529750543167287,0.005061943124056693,0.04295575457633613,0.03495805062877519,0.2554327383566468,-0.018291268244899888,0.004614552373293081,1.1161033777800944e-05,-0.7732380760788368,-0.30539044454538156,-0.0027123347038422656
0.05,0.0013231899009411474,0.0010590340744213898,0.007938414972407852,0.05382284237113388,0.04646051090066828,0.3198571362221458,-0.026455086874301474,0.000521188620482691,4.039747011254541e-05,-0.8595138427259787,-0.5131089738104604,-0.009978968223972986
0.060000000000000005,0.0019132079645747674,0.0015870976452876076,0.011453768502433494,0.06403240111807856,0.05937619813707874,0.3832061499563428,-0.03536913112353399,-0.005380998389663294,7.456303709295486e-05,-0.9232668273006973,-0.6668900919321734,-0.0198390628719669
0.07,0.0026010759439584075,0.0022516808619847026,0.015596699927187787,0.07336075982220944,0.0737763257987884,0.44536891473254475,-0.044837297611851526,-0.012623058110760694,0.00010904129131006593,-0.9703047738456778,-0.7805583111818121,-0.03146196745640401
0.08,0.003377144147109552,0.0030678953962685568,0.020355650784519112,0.08164952556707876,0.08971063087614854,0.5064055636324487,-0.05471400581546937,-0.020856761286896147,0.00014101860394955928,-1.0049388770741021,-0.8643935078426996,-0.044173369677270896
0.09,0.004230422212266369,0.00405126493280194,0.02571980441440143,0.08878647829896774,0.107212856539911,0.5664045203727175,-0.06489118032149566,-0.029823584370395534,0.00016906012749197077,-1.030368914749179,-0.9260394922065536,-0.0574784343147273
0.09999999999999999,0.0051489783883375065,0.005217575798658749,0.031679012213199687,0.09469382927739098,0.12630247190283575,0.6254111414798482,-0.07528859577591972,-0.039331645855552495,0.00019265262994556202,-1.0489698486328496,-0.9711787583285307,-0.07103878555955899
0.10999999999999999,0.006120247881851263,0.006582734069968801,0.03822320419796062,0.09932156951926939,0.14698437772221468,0.6833959360540038,-0.08584671228132523,-0.049238559505573154,0.0002118353448641881,-1.0625046746277704,-1.0040345409280096,-0.08463707153023461
0.11999999999999998,0.007131292338246538,0.008162613193985214,0.045341573021026337,0.10264418960158782,0.1692473905560081,0.7402410428143659,-0.0965213561231352,-0.0594386911047523,0.00022693915348542487,-1.0722823228909804,-1.027744617712008,-0.0981430701713389
0.12999999999999998,0.008169034004360145,0.009972889022491686,0.053021731683290094,0.10465875924702664,0.19306332196452386,0.7957484966808613,-0.10727976889511187,-0.06985369119863334,0.00023841826304380736,-1.0792747445430226,-1.0446396307763046,-0.11148603518318344
0.13999999999999999,0.00922046343464044,0.01202888407649418,0.06124913012211275,0.10538142029978587,0.2183898407093076,0.8496837307417865,-0.1180976721538862,-0.08042546375124861,0.0002467501316432818,-1.0842037375849705,-1.0564502617956157,-0.1246339334753333
0.15,0.010272795393886588,0.014345465523051985,0.07000703350311632,0.10484043332280257,0.24517842249922167,0.901844402427822,-0.12895708621298999,-0.09111094519491342,0.00025238152538890017,-1.0876053516591964,-1.0644613871466773,-0.1375786791780918
0.16,0.011313549850437473,0.016937026873797806,0.07927708900850981,0.10306814650151312,0.2733831250474716,0.9521092654336973,-0.1398447092291031,-0.10187822843143889,0.0002557037138836593,-1.0898776804141315,-1.0696267319243609,-0.15032606083590355
0.17,0.012330572335916182,0.019817528356303588,0.08904009277693348,0.10009697870989116,0.3029634531219235,1.0004293481662485,-0.15075071268615653,-0.11270368568534604,0.00025704489766969053,-1.0913163407364797,-1.07265410830172,-0.16288912158674773
0.18000000000000002,0.013312041050344383,0.02300053234331202,0.0992764733682261,0.09596083922079214,0.3338804403914087,1.0467801043593064,-0.16166784638759657,-0.12356983299200701,0.0002566720432475198,-1.0921408205411263,-1.0740687601262346,-0.17528397411577262
