time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-1.5492949089190192e-07,1.5492953075760748e-07,0.00015789906037191545,-6.193481191409975e-05,6.193481192357863e-05,0.03157970193166739,-0.0014336210564269661,-0.001433619216194804,1.0272268364987453e-06,-0.28661055554976117,-0.28661055554976117,0.0
0.02,-2.4299473412111915e-06,2.4299479600010403e-06,0.0006288526730568677,-0.00047755514974437196,0.00047755608439606795,0.0626103817790697,-0.005362789108009584,-0.005362748441011763,7.962685079259429e-06,-0.49913479924547777,-0.49913027771033813,-0.0012830103835787296
0.03,-1.1804046110691065e-05,1.18041140941776e-05,0.0014073823450748099,-0.0015210033492867832,0.0015210248432753633,0.09309344670108373,-0.011142033912378443,-0.01114179495779392,2.3481037802474836e-05,-0.6566302202801222,-0.6565973429409824,-0.005150812104011933
0.04,-3.5604648334888e-05,3.560543713559764e-05,0.0024880226295605646,-0.0033915323660775815,0.0033916945290186273,0.1230300604965173,-0.018291982365116064,-0.018291234496711165,4.500558250562835e-05,-0.7732588021413663,-0.7731410488520096,-0.01158674934976102
0.05,-8.286164113393154e-05,8.286625079210589e-05,0.003865321116099554,-0.006233122204011239,0.006233835993416181,0.15242181785140063,-0.026456639440272843,-0.026454968023045124,6.913219996276737e-05,-0.8595440787543,-0.8592527321296258,-0.020117013345326278
0.060000000000000005,-0.00016383091410993386,0.00016384923238605184,0.005533843386915999,-0.01014901929956033,0.010151290522603693,0.1812709207526627,-0.035371658604056146,-0.03536862150869152,9.313107083694186e-05,-0.9233035629427881,-0.922726028774402,-0.03018835503912168
0.07,-0.0002896434927344724,0.00028970005466735066,0.007488178975699568,-0.015212503562867598,0.015218327809644005,0.2095801422947891,-0.04484077063398045,-0.04483596915293921,0.0001152388595383658,-0.9703430778755021,-0.9693523410427528,-0.04131414357873716
0.08,-0.00047204764320642667,0.000472193766665162,0.009722946695561488,-0.02147485320137347,0.02148767116952869,0.23735271610340603,-0.05471827317360422,-0.05471140207866803,0.00013451845681744637,-1.0049737373031067,-1.0034358185889514,-0.05311490370680254
0.09,-0.000723219724209948,0.0007235503858668952,0.0122327988167209,-0.02897123053349227,0.028996416861351796,0.26459221421722784,-0.06489602267922998,-0.06488689739393086,0.0001506162750195625,-1.0303965078327266,-1.0281752807965046,-0.06531491089860655
0.09999999999999999,-0.001055625822225271,0.0010563015057857392,0.015012424069317687,-0.037725027604842885,0.03777039382268123,0.29130243874168327,-0.07529377106035595,-0.07528233616063207,0.00016354103036388067,-1.0489880158269844,-1.0459478353885792,-0.07772373716153268
0.10999999999999999,-0.0014819208693777088,0.001483194461370326,0.01805654963625398,-0.04775107233059395,0.04782737183088864,0.31748733474800367,-0.08585198707201644,-0.0858383120647556,0.00017349832988756357,-1.062512830703466,-1.058519686233941,-0.09021543234799917
0.11999999999999998,-0.0020148754078776502,0.0020171241249603332,0.021359942347661108,-0.05905799258356998,0.05917942114064476,0.34315092405456243,-0.09652652369397985,-0.09651079151910649,0.00018078021055315083,-1.0722810864340357,-1.0672028992810787,-0.10271024055328194
0.12999999999999998,-0.0026673227351245725,0.002671085022595849,0.024917409274392375,-0.07164995855747831,0.07183464773791413,0.36829725659793566,-0.10728465698294037,-0.1072671493713449,0.00018569780599027438,-1.0792655012376091,-1.0729720002418486,-0.11516019697544636
0.13999999999999999,-0.003452121066242862,0.003458138393558134,0.02872379788258103,-0.08552796636512008,0.08579846950159606,0.3929303754496569,-0.1181021438634115,-0.1180832263003368,0.00018854421099174338,-1.0841882537033167,-1.0765506919720413,-0.12753846734751106
0.15,-0.004382126757344724,0.004391390240299668,0.03277399587285119,-0.10069078324630416,0.10107455493444575,0.41705429183929904,-0.12896103692435226,-0.12894114482263952,0.00018957688080960597,-1.087585483981236,-1.0784763371372594,-0.13983178274437083
0.16,-0.005470175671334802,0.005483977463692688,0.03706293079351549,-0.11713564321630793,0.11766551391098788,0.44067296716737714,-0.13984806159602148,-0.1398276884520487,0.00018901180496575003,-1.08985518662253,-1.0791478952316929,-0.1520352420372201
0.17,-0.006729070534177986,0.0067490599486340975,0.041585569489189865,-0.13485875865885324,0.1355734061671826,0.46379029964461704,-0.15075341109199708,-0.15073309885130382,0.00018702422978147284,-1.0912927743283383,-1.078861549618124,-0.1641488401189172
0.18000000000000002,-0.008171572694311287,0.00819981703082187,0.046336917424594254,-0.15385569613783534,0.1548001158128571,0.4864101137631799,-0.16166985166378495,-0.16165018320012775,0.0001837526171392943,-1.092117488103394,-1.0778371785263199,-0.17617521217270896
0.19000000000000003,-0.009810397113974913,0.009849447191099755,0.05131201790693328,-0.1741216519858488,0.17534762733007914,0.5085361512586998,-0.17259205833216465,-0.17257365177763753,0.00017930385741439964,-1.0924920105432598,-1.076238018085142,-0.1881182123852637
0.20000000000000004,-0.011658013985204397,0.011711170162483499,0.0565059863413218,-0.19557351467759257,0.19721817833034108,0.5301862960209469,-0.18351144822025992,-0.18154118592555665,0.00015959286708888023,-1.091910265362693,-0.6885872844236358,-0.13266145630155868
0.21000000000000005,-0.013724512240950264,0.01379818607443851,0.06191418834247281,-0.2178279823197394,0.22040559377675123,0.5513921450594961,-0.19441949447330104,-0.18706502404983755,0.00010872835115560732,-1.0914742381463827,-0.3949304503126712,-0.0841608575045332
