,evaluation record
233,-2732.498237649091
234,-3885.619304704794
235,-3207.5877254686948
236,-1180.8544288899582
237,-2946.876659130014
238,-2043.6956460823146
239,-1447.4707750228436
240,-3300.811584522944
241,-3509.329614533685
242,-1272.9947507149996
243,-2141.454609865653
244,-1269.954098046184
245,-2677.9899469981606
246,-2816.9118485459744
247,-1844.0131446608684
248,-3322.2414739294695
249,-2556.621657893533
250,-2588.958382286357
251,-2739.1445785963483
252,-2973.4108169516426
253,-1453.670786619816
254,-5027.359247579813
255,-2096.3446544891685
256,-2202.8202135865336
257,-1949.6196682009133
258,-1835.0545683380958
259,-3584.395140039629
260,-2162.5496386925356
261,-2225.8867871531047
262,-2485.6654301449557
263,-2161.039891075922
264,-3100.0565241192794
265,-3073.947550188314
266,-2424.0213571087947
267,-2032.1078494895846
268,-1729.3828426077164
269,-1745.9170795043212
270,-3860.6807515587075
271,-1450.7887435423825
272,-2553.3381254952105
273,-2380.1122310622754
274,-2572.440537864233
275,-4250.083888172333
276,-1449.7624724220086
277,-2090.487814293173
278,-4169.368011825415
279,-2875.5096311393377
280,-3040.513519312664
281,-4373.037533323317
282,-2961.0341621479306
283,-2924.224964020028
284,-3676.4933373885265
285,-1908.871489631835
286,-1947.5776469484229
287,-4146.120153282723
288,-2561.273559924541
289,-3487.78543454751
290,-2279.403797316151
291,-3681.6735455371304
292,-2140.2930551989566
293,-1389.7337592890626
294,-3448.8815429551523
295,-2247.928917326312
296,-2091.9327062148122
297,-2658.403525798755
298,-2541.8557008172015
299,-2573.856614876325
300,-3330.4210190266917
301,-2737.8039207597317
302,-1448.1341901031203
303,-3158.999654827323
304,-1984.9249604880579
305,-1255.0524928035443
306,-1815.4337450957019
307,-1794.9874983502516
308,-2762.2545361059106
309,-1871.2044346481136
310,-1905.3080796141678
311,-2183.5891134214626
312,-2147.271872644934
313,-2150.31342586474
314,-1629.362564467319
315,-3021.1747157502473
316,-2801.498169819617
317,-2304.5930395435175
318,-2719.2253670432688
319,-4468.147397004691
320,-2421.195344829333
321,-3189.9576587584247
322,-3198.0606748212754
323,-1462.0066959447583
324,-4612.855158518183
325,-2108.186940902368
326,-2435.7411037763745
327,-4073.408990371215
328,-2533.9000816050257
329,-2170.686850259371
330,-2244.1604245101194
331,-2852.8881877796307
