,evaluation record
0,-5543.896221416251
1,-4367.933375839953
2,-4949.098088064629
3,-7512.345472972881
4,-9536.05357554101
5,-6279.832588569807
6,-8145.865444306954
7,-8337.485839869329
8,-5362.291064162584
9,-7929.472137320146
10,-5721.138161538579
11,-5825.303232453558
12,-6857.167435234563
13,-6740.324620943955
14,-7242.476645115303
15,-6491.265973304557
16,-4997.620552515152
17,-10130.6231076772
18,-5601.47850192438
19,-5696.623570277649
20,-7951.4953631830695
21,-7069.350056560764
22,-9795.840787161698
23,-5957.866853465626
24,-7408.084201857846
25,-8430.177777462457
26,-7328.8986124186
27,-7299.550374641571
28,-7113.881843887357
29,-5301.722135754052
30,-7060.975453298071
31,-6970.46858826807
32,-6589.266202849934
33,-6514.182228220128
34,-6779.644393101693
35,-6115.187795559507
36,-6015.739065420622
37,-6086.629585340251
38,-7969.327756080301
39,-5015.8112485842385
40,-5939.966801879632
41,-5790.750848837586
42,-7714.840196005163
43,-6195.398842257894
44,-6253.80278284917
45,-5135.264111161751
46,-8220.359155508164
47,-6109.21440680899
48,-6183.49600125558
49,-5243.027315412311
50,-5768.218000660467
51,-5097.182555355583
52,-6774.911643344765
53,-7188.023395269904
54,-10792.804747322236
55,-5687.0714144612375
56,-5166.71979116707
57,-5504.639961458811
58,-4906.715237149438
59,-8662.98618008725
60,-5005.188052107643
61,-5046.7213009679635
62,-13496.68056766639
63,-5619.359379577836
64,-4979.903851349833
65,-8807.170927727248
66,-6315.726857215768
67,-9949.780700899402
68,-5293.298690302982
69,-4658.83060725462
70,-7406.92407194336
71,-7102.002703365719
72,-5806.199577336898
73,-5485.540032796399
74,-5308.086151372814
75,-4974.768812641641
76,-5078.279353520644
77,-6254.535293436866
78,-6579.634778521775
79,-5910.378816508958
80,-8850.054828953263
81,-5675.527209843125
82,-5427.761487845868
83,-9457.258094867146
84,-5331.960235521257
85,-6315.801141002319
86,-4969.308116776016
87,-8645.15321594352
88,-5475.256028204098
89,-3741.509696590132
90,-6128.923487669302
91,-7300.083011544982
92,-6680.991546248892
93,-5728.8700516804265
94,-5469.815340248706
95,-4730.984317691988
96,-5473.249763647642
97,-6847.957942263862
98,-6687.550604835425
99,-5923.494338320438
100,-5226.5856495921125
101,-5613.583532611402
102,-8948.0355358436
103,-5695.980416158044
104,-5401.4491445269505
105,-6198.69903081739
106,-4669.421446913778
107,-8670.547536491538
108,-5946.905830922073
109,-4332.078277624891
110,-7211.137188673395
111,-5642.131417461385
112,-7605.336454282452
113,-5412.8745085877945
114,-5795.363566949347
115,-5498.241576258256
116,-6178.703541703492
117,-7914.543556577708
118,-4449.703246146766
119,-6976.351855279179
120,-5276.139475326571
121,-8450.149527230065
122,-6477.801999532158
123,-5564.3306529377605
124,-4550.410062914237
125,-5682.595467959832
126,-7251.700534426472
127,-5359.944906077608
128,-4729.715292695177
129,-5242.27086410532
130,-7047.168214366931
131,-5341.862756662021
132,-5063.558837032703
133,-4740.309776321279
134,-9038.030276873058
135,-4815.121619843905
136,-6349.550926947049
137,-8398.823687870648
138,-5733.035655409678
139,-4729.389510869187
140,-7415.809140570287
141,-6608.480779026834
142,-8663.611185220787
143,-4588.476582902744
144,-5810.396630753499
145,-5751.305431251567
146,-6916.940862230229
147,-4584.914396107796
148,-6181.570029918433
149,-6925.454009822647
150,-6040.91263299429
151,-5598.67407682467
152,-4857.398050411093
153,-5370.1078998708945
154,-5174.8623630337115
155,-5321.428547102701
156,-4612.833906487407
157,-5287.924184605498
158,-4920.487948239338
159,-5857.3151434589645
160,-6899.608602800732
161,-5327.632243929748
162,-13642.91117698313
163,-5698.879623803672
164,-5298.829165030791
165,-10252.855482802754
166,-4417.04933935787
167,-4366.575923969762
168,-7059.8779541001395
169,-4848.20868336572
170,-5868.486097739847
171,-5856.687341040872
172,-5037.175137581954
173,-5048.902503006421
174,-5060.495902376546
175,-4977.508687661313
176,-4459.031626993217
177,-5220.047864569231
178,-5009.909041651126
179,-4652.095847041202
180,-8544.926050959684
181,-11966.074560914052
182,-5125.939552066363
183,-6045.803536887106
184,-5369.413218771821
185,-6104.41171114256
186,-5903.379582492508
187,-5388.5084305331375
188,-5806.8711643472125
189,-4968.7049238452
190,-4921.6693171536335
191,-5407.208916440766
192,-8486.942291426196
193,-7377.669851964803
194,-8636.207559081178
195,-8714.153174390647
196,-6107.305074114436
197,-5140.846982873127
198,-6510.718919436095
199,-5911.033460822913
200,-4550.4453238685155
201,-4816.9515595008925
202,-7077.890213361471
203,-9918.241866311695
204,-4692.973854541399
205,-4824.234263016353
206,-5488.485566511725
207,-4888.518237645891
208,-5191.790656607223
209,-11333.453496149901
210,-4870.724432744662
211,-4872.059489816838
212,-10160.943337324226
213,-6983.413692473265
214,-7739.971434767176
215,-4368.662026423052
216,-4672.83371368726
217,-4176.05522373694
218,-4334.554861717512
219,-6397.990381824933
220,-4919.857237628367
221,-5607.790144185901
222,-11875.51382602211
223,-11031.472450750098
224,-4717.610645618464
225,-10640.492298318404
226,-3697.7094373214627
227,-4256.325840651846
228,-5509.0599670044485
229,-8413.432209844552
230,-6543.112551850836
231,-4560.936962314283
232,-4916.981843698198
