,reward
207,-6819.559310921277
208,-5988.9960570850735
209,-5784.663242532248
210,-7143.442408473121
211,-6429.2809280465135
212,-6409.878349005927
213,-6126.6748979280865
214,-5982.88718404176
215,-6637.248270678717
216,-5795.727609178342
217,-5780.144009053121
218,-6086.057069570526
219,-6539.227731898896
220,-5910.761541696009
221,-6176.873697450467
222,-6052.312890133817
223,-5796.883211136204
224,-6109.396228514063
225,-6213.261140991494
226,-6429.288836835844
227,-6227.419980047486
228,-6146.887087310125
229,-5951.755701719935
230,-5835.186939278012
231,-5922.485718890619
232,-6051.788779387393
233,-6568.001452341805
234,-6663.802882990051
235,-7159.503948711939
236,-6586.433419867572
237,-7575.789564352889
238,-6621.859130581604
239,-6961.110309132754
240,-5863.328869974423
241,-5802.116058603887
242,-6081.528158310506
243,-6084.777563288256
244,-6323.321349733736
245,-6601.621224839076
246,-5901.222957796052
247,-6510.230384104967
248,-6145.855099038516
249,-6352.773008777322
250,-5953.601652253642
251,-5753.283543535223
252,-5935.698347478779
253,-6583.235093802382
254,-6414.390717305426
255,-6413.14512599843
256,-5674.966422580447
257,-5925.726115822292
258,-5772.730323066411
259,-5854.849706160899
260,-6058.906375182035
261,-6308.818638193568
262,-6988.520855417409
263,-6163.2985400014895
264,-6519.088015882523
265,-6658.73401356165
266,-6527.488636636042
267,-5751.620791280435
268,-5813.706561799315
269,-7356.579257965449
270,-6497.199140746195
271,-6980.773045773657
272,-6025.080550722584
273,-5574.362852752732
274,-6878.1420148703255
275,-6332.907927340327
276,-6950.013462164353
277,-7416.837397809574
278,-6509.84595998066
279,-6535.8238737013335
280,-6079.074928158625
281,-7120.687280998257
282,-6613.7524833302805
283,-6822.380342282889
284,-6254.50275065562
285,-6224.548628296413
286,-5711.102081379465
287,-5733.838013837195
288,-6225.635722260934
289,-7471.198150768097
290,-6744.279278495567
291,-6996.860408386803
292,-6411.5705175561225
293,-5564.800563803626
294,-6010.651236286692
295,-5971.955595398827
296,-5477.306650141389
297,-5650.985250162759
298,-6015.974509775404
299,-5615.606707883832
300,-5823.409217577703
301,-7065.773878370063
302,-5783.91134793971
303,-5381.01579232854
304,-5870.743751067665
305,-5626.354674975734
306,-5589.218624812802
307,-6171.505003845805
308,-7387.773321372476
309,-6155.780814083397
310,-6452.49461363125
311,-6389.877695784289
312,-6651.059059727633
313,-5691.532418073535
314,-5490.49720225867
315,-6956.432815397753
316,-6417.779779702158
317,-6054.2679936179065
318,-6394.432329554811
319,-5653.316649467142
320,-5676.430377701377
321,-5974.103753825886
322,-5644.085414697338
323,-5772.312125168948
324,-6107.09914022098
325,-6035.2886009086005
326,-5628.979930414436
327,-5911.135797330425
328,-5955.790722465731
329,-5711.387936022875
330,-6026.199078740893
331,-6107.91643056016
332,-6284.813379229221
333,-6713.628788297278
334,-6447.1589632296855
335,-6736.5844597588575
336,-6884.451743435549
337,-6453.1026534125795
338,-5815.683328110953
339,-6010.181281867189
340,-6394.469476005084
341,-5720.598740432885
342,-5856.592531983311
343,-6121.908378263237
344,-5542.118192349327
345,-5710.670908627035
346,-5783.714292761317
347,-5878.78797399427
348,-6569.981304566793
349,-6515.161513580647
350,-6509.723828898163
351,-6917.711010889669
352,-6092.8077127774395
353,-5703.16107489647
354,-5681.8405095254175
355,-5464.2943402200235
356,-5614.206789782418
357,-5608.271383691114
358,-5710.501943035872
359,-5870.473113580824
360,-5728.889606750041
361,-5776.395077657706
362,-5581.25536361519
363,-6359.411892446711
364,-7069.745322612466
365,-5942.0257576207705
366,-6452.846156559376
367,-6110.936855660693
368,-6593.668802385167
369,-5317.336686756786
370,-5598.740076004822
371,-5951.898358163266
372,-6375.580508738939
373,-5422.988705621145
374,-5671.3453295911595
375,-5578.8195560613385
376,-5411.252676364253
377,-5705.032338234871
378,-5296.441752761452
379,-5654.9379712384625
380,-5604.714192193502
381,-5496.325479312195
382,-5795.1862528081065
383,-6443.937890318414
384,-6592.555974076337
385,-6914.810446678918
386,-5740.7549414988025
387,-5586.3967814649495
388,-5939.643639345166
389,-5532.000541254761
390,-5677.645279170257
391,-6022.559835379211
392,-6741.978096127328
393,-5975.099968977349
394,-6542.279647024988
395,-5673.332184765436
396,-5552.78974112528
397,-5815.473435364125
398,-5803.028421891616
399,-5699.7274972277755
400,-5507.805446804694
401,-5341.6871859039065
402,-5290.985921118935
403,-5684.907970825796
404,-5465.102867758989
405,-5962.52751935167
406,-6189.3395787220825
407,-6144.648546685716
408,-6411.663155511964
409,-7276.776290266011
410,-6145.65510963598
411,-5731.720912334312
412,-5921.866211397476
413,-6318.528644576546
414,-5547.237741236457
415,-5548.685647664542
416,-5894.467626000704
417,-5652.4256771524715
418,-5851.499599553511
419,-5514.000645393505
420,-5779.740264939736
421,-5729.7469417060665
422,-5636.5361893293875
423,-6120.728933135442
424,-5579.958238513465
425,-5399.183690629555
426,-5660.550833450807
427,-5583.757187508474
428,-5882.8977926153375
429,-5859.906775895332
430,-5634.0453629760605
431,-5832.151837169449
432,-5975.94596032619
433,-6766.985432592367
434,-6897.708496481035
435,-6497.376502903827
436,-6400.758129240655
437,-6197.840571013021
438,-5885.332988466964
439,-5380.420975780073
440,-5858.5464351599285
441,-5473.802827290277
442,-5474.610793173793
443,-6032.458338934816
444,-6520.637345713673
445,-6180.989111188709
446,-5677.755905397386
447,-5516.310884450013
448,-5670.591204870179
449,-5712.7701158970085
450,-5427.038316161261
451,-5523.744325225914
452,-5943.3186795209795
453,-6296.659802033105
454,-5451.48538777551
455,-5898.001647858538
456,-5340.337811759127
457,-5478.789758976127
458,-5919.7030946114055
459,-6311.349229921476
460,-5776.352327005068
461,-5817.289499512126
462,-5586.480173676575
463,-6461.075553493163
464,-5693.250564076923
465,-5942.603494478968
466,-5857.6751636129275
467,-5450.367657925958
468,-5511.883627371235
469,-5810.688765597404
470,-5819.619413906323
471,-6301.999001050627
472,-5784.7258967990465
473,-5709.086548867453
474,-5485.808026483789
475,-5866.962798818486
476,-5590.972311777774
477,-5501.13439203665
478,-5285.805043888214
479,-5455.742620973078
480,-5637.491432409359
