,evaluation record
145,-189.49979412713017
146,-102.4838802518682
147,-164.56390744994397
148,-167.58951786920287
149,-131.3245790705229
150,-142.0074977705774
151,-262.1067451737869
152,-205.88043164183034
153,-152.70109135276792
154,-170.74386291707546
155,-166.65264925395016
156,-196.88027455293812
157,-215.3885209526956
158,-152.1375683386936
159,-127.11342519559362
160,-172.14405783351594
161,-185.56080337158429
162,-137.11309934794113
163,-129.8909452356186
164,-280.1130799429162
165,-144.17509777629328
166,-141.28482053074404
167,-194.45806612067966
168,-192.84848367545496
169,-193.3072927339267
170,-107.81312811763252
171,-189.16181166123056
172,-47.96504054343979
173,-140.75030546114462
174,-166.43515234549992
175,-166.42865057327802
176,-167.82881103973168
177,-218.25947780430275
178,-121.64561244025532
179,-174.98488935333205
180,-130.51408232664593
181,-202.26323078980943
182,-159.9758994960657
183,-131.94006888186013
184,-178.36910842513998
185,-188.89296613307383
186,-196.00116182391181
187,-151.72286930882174
188,-212.71727558475325
189,-221.97203450560718
190,-197.6202823551354
191,-209.14930321751572
192,-98.2835943177422
193,-107.58964168379966
194,-142.30716748621583
195,-135.61143087491988
196,-243.725360535387
197,-110.26866323731383
198,-117.8038929763266
199,-165.4533806322219
200,-138.56919879485994
201,-161.4876910248658
202,-141.54522494421994
203,-148.66364542157908
204,-97.44848538675585
205,-139.39612637358366
206,-223.06449697431094
207,-123.98133498361038
208,-135.34753535664586
209,-137.31699119258644
210,-151.66982846370192
211,-168.0420610463066
212,-158.4958096636528
213,-146.17067155444508
214,-121.67708718635392
215,-130.18884741865034
216,-171.60445592641952
217,-184.01371758315824
218,-122.47526703496358
219,-90.55018421718837
220,-164.64573891138812
221,-86.14336247381736
222,-97.29902783544674
223,-162.85385239646627
224,-156.847779711476
225,-186.90801697960293
226,-142.24020819274384
227,-117.98633991857405
228,-138.11252446658747
229,-138.62319746597367
230,-95.97516957989393
231,-172.35416391531314
232,-129.4851825271525
233,-129.12557960895342
234,-142.8311389348686
235,-160.8935026586474
236,-176.91629893825132
237,-133.71078193624155
238,-197.5091748017096
239,-88.71357576866042
240,-186.20790559429653
241,-144.30935774696135
242,-168.80881062874872
243,-156.55197708976758
244,-175.69889183577155
245,-159.4892068330808
246,-59.26553968793072
247,-94.44289487635002
248,-85.80646939627401
249,-130.25859399265013
250,-146.9133213996578
251,-152.64106404325625
252,-114.35596579424595
253,-111.78351861548789
254,-162.20891718675287
255,-81.98404326732684
256,-135.46345822722904
257,-164.9057431133538
258,-112.04026677329234
259,-181.1409443484623
260,-155.42611190106314
261,-178.0897646505861
262,-192.03919438335132
263,-164.23002355600892
264,-170.50061533918216
265,-162.76590714865392
266,-105.41896399704187
267,-119.21160936456444
268,-174.16212120380828
269,-173.71285427910584
270,-129.34879042380368
271,-79.12074989075522
272,-97.79260430220279
273,-167.44098472101427
274,-112.65557123955632
275,-154.84861968016537
276,-119.19332716069091
277,-123.95038280284541
278,-105.72844683410379
279,-114.59859546773515
280,-129.72976152214832
281,-138.75396784765985
282,-130.86068232039327
283,-116.72851473462866
284,-133.87652325195285
285,-170.29201276346615
286,-157.35502740933407
287,-94.07093421203264
288,-73.83236825866787
289,-119.94920613240977
290,-162.82120956455913
291,-120.31173939519363
292,-159.43376070438921
293,-134.20180915073158
294,-45.847755046338726
295,-152.31381921450912
296,-71.72789749550228
297,-116.97416350857121
298,-60.24711601480184
299,-130.00433881344162
300,-136.03689436219068
301,-157.72643990603135
302,-111.42456270655818
303,-159.64060483071214
304,-127.25173590926899
305,-95.33189520590655
306,-159.09099517865846
307,-161.3642244114461
308,-152.02950970875338
309,-155.38241040985397
310,-113.74370654432211
311,-122.51579372814963
312,-91.69179615896013
313,-166.26319099739266
314,-196.07872480908873
315,-128.49975064925476
316,-138.25344865723943
317,-133.15604440119046
318,-152.24811051993413
319,-97.81275075903
320,-107.65270218494413
321,-146.61825579470218
322,-139.2110203063093
323,-103.80599230183144
324,-79.81598308473842
325,-111.22002175730584
326,-122.91834079850747
327,-151.12918526697345
328,-122.31613010582494
