,evaluation record
131,-64.23813218812158
132,-57.035787906050324
133,-85.16023615365395
134,-51.773257170369085
135,-50.86399681597109
136,-64.81128098579386
137,-87.27474327279076
138,-57.793805500092766
139,-47.45643466937449
140,-44.69242581332168
141,-90.86522631315567
142,-99.86268917109989
143,-101.88875319617885
144,-84.23110115251176
145,-49.123163597235894
146,-82.50558837474611
147,-77.16780023006251
148,-40.99907996384282
149,-35.257895386019534
150,-49.64785651941123
151,-52.728974373394806
152,-67.25330242318482
153,-43.09618073246358
154,-35.6367153170878
155,-32.89480180473188
156,-38.33969757617385
157,-30.36990536733711
158,-123.93584932724188
159,-129.90855346078777
160,-91.21183041988503
161,-79.93762609344743
162,-64.93330269332934
163,-66.34993541138456
164,-56.76074081509191
165,-67.91459813803957
166,-90.65319001983777
167,-106.85915455948503
168,-44.39549935380899
169,-100.92086358530001
170,-56.52462004374445
171,-109.3181521235454
172,-54.26009748251581
173,-49.6958552078058
174,-81.15856221435935
175,-107.74942936357598
176,-108.12687667386398
177,-89.08900107761463
178,-99.88675990784208
179,-50.30206312609328
180,-72.98224989925617
181,-32.45585864357805
182,-99.85138114934891
183,-69.20856598391639
184,-74.47180781240293
185,-83.14947857404556
186,-57.643846319817165
187,-101.50043190907252
188,-82.8234083255708
189,-86.7681860010609
190,-100.19938708865304
191,-86.54585296229571
192,-85.8129330045469
193,-99.64669812854113
194,-67.73645076616225
195,-80.81112352785247
196,-130.46928561162613
197,-53.51428069190774
198,-51.79879669763813
199,-105.56640571572716
200,-93.01981018063988
201,-49.39112633924291
202,-70.23205376740245
203,-126.03319812231182
204,-82.1159619143296
205,-111.08379110638158
206,-60.36665588599421
207,-129.89181177864268
208,-73.16635248769731
209,-93.68565578487221
210,-80.65626770504363
211,-69.61508291456545
212,-78.10685173574298
213,-77.17520409706809
214,-80.52079397734002
215,-47.60273219238874
216,-49.79726360680596
217,-47.73749180445352
218,-101.70133784713956
219,-63.4315719370318
220,-43.838187799603126
221,-75.27424582734255
222,-62.731778351462815
223,-62.51277349642066
224,-93.74335506610566
225,-77.2531714313559
226,-95.36326859910122
227,-110.65482753821209
228,-103.20112612585301
229,-65.59372259493405
230,-98.87563458483793
231,-68.78573958022317
232,-45.11634213215044
233,-59.78711140183455
234,-94.67082638134349
235,-70.0979129112586
236,-50.67260026841135
237,-93.19225227535718
238,-86.08381472268194
239,-79.62905669892247
240,-83.7041666783299
241,-70.88673815880496
242,-70.98409407431058
243,-80.43125446467438
244,-93.21166869335445
245,-77.44181054544099
246,-101.44913276445023
247,-87.06415790774633
248,-74.88656344225629
249,-158.4035808913142
250,-88.07585811316197
251,-65.04841475908276
252,-76.2016678886652
253,-91.32576986167403
254,-78.81651164969288
255,-76.153946798724
256,-75.82128003479251
257,-62.12934092953873
258,-89.65474188811874
259,-74.87191592929283
260,-91.90463753279386
261,-92.51773201782864
262,-83.69138858273426
263,-53.429603312489796
264,-71.82255649211807
265,-72.65085483168357
266,-56.07124088865492
267,-101.77276982729661
268,-95.05641807077758
269,-79.32941619973768
270,-44.095615734989686
271,-55.43752786230769
272,-58.988290553562734
273,-90.80714503391498
274,-75.11520589683165
275,-88.66435461430747
276,-94.45715268517164
277,-96.3178030462501
278,-68.53389477312507
279,-80.78705595879512
280,-119.77205490738633
281,-100.27261067628133
